kodefikasi;komponendata;satuan;sumberdata;2023;2024;2025;2026
36203510571;Kota Tangerang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510572;Kota Cilegon;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510573;Kota Serang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510574;Kota Tangerang Selatan;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510536;Provinsi Banten;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
362035106;Jumlah Gizi Buruk Ditangani;;Badan Perencanaan Pembangunan Daerah;;;;
36203510601;Kabupaten Pandeglang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510602;Kabupaten Lebak;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510603;Kabupaten Tangerang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510604;Kabupaten Serang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510671;Kota Tangerang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510672;Kota Cilegon;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510673;Kota Serang;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510674;Kota Tangerang Selatan;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
36203510636;Provinsi Banten;Balita;Badan Perencanaan Pembangunan Daerah;-;0;0;0
362035107;Prevalensi Stunting;;Badan Perencanaan Pembangunan Daerah;;;;
36203510701;Kabupaten Pandeglang;%;Badan Perencanaan Pembangunan Daerah;28,60;0;0;0
36203510702;Kabupaten Lebak;%;Badan Perencanaan Pembangunan Daerah;35,50;0;0;0
36203510703;Kabupaten Tangerang;%;Badan Perencanaan Pembangunan Daerah;26,40;0;0;0
36203510704;Kabupaten Serang;%;Badan Perencanaan Pembangunan Daerah;23,90;0;0;0
36203510771;Kota Tangerang;%;Badan Perencanaan Pembangunan Daerah;17,60;0;0;0
36203510772;Kota Cilegon;%;Badan Perencanaan Pembangunan Daerah;22,00;0;0;0
36203510773;Kota Serang;%;Badan Perencanaan Pembangunan Daerah;22,30;0;0;0
36203510774;Kota Tangerang Selatan;%;Badan Perencanaan Pembangunan Daerah;9,20;0;0;0
36203510736;Provinsi Banten;%;Badan Perencanaan Pembangunan Daerah;24,00;0;0;0
362035108;Angka Partisipasi Angkatan Kerja;;Badan Perencanaan Pembangunan Daerah;;;;
36203510801;Kabupaten Pandeglang;Orang;Badan Perencanaan Pembangunan Daerah; 590.432 ;0;0;0
36203510802;Kabupaten Lebak;Orang;Badan Perencanaan Pembangunan Daerah; 722.854 ;0;0;0
36203510803;Kabupaten Tangerang;Orang;Badan Perencanaan Pembangunan Daerah; 1.691.017 ;0;0;0
36203510804;Kabupaten Serang;Orang;Badan Perencanaan Pembangunan Daerah; 796.819 ;0;0;0
36203510871;Kota Tangerang;Orang;Badan Perencanaan Pembangunan Daerah; 940.374 ;0;0;0
36203510872;Kota Cilegon;Orang;Badan Perencanaan Pembangunan Daerah; 207.167 ;0;0;0
36203510873;Kota Serang;Orang;Badan Perencanaan Pembangunan Daerah; 363.850 ;0;0;0
36203510874;Kota Tangerang Selatan;Orang;Badan Perencanaan Pembangunan Daerah; 652.575 ;0;0;0
36203510836;Provinsi Banten;Orang;Badan Perencanaan Pembangunan Daerah; 5.965.088 ;0;0;0
362035109;Tingkat Partisipasi Angkatan Kerja;;Badan Perencanaan Pembangunan Daerah;;;;
36203510901;Kabupaten Pandeglang;%;Badan Perencanaan Pembangunan Daerah;60,33;0;0;0
36203510902;Kabupaten Lebak;%;Badan Perencanaan Pembangunan Daerah;67,90;0;0;0
36203510903;Kabupaten Tangerang;%;Badan Perencanaan Pembangunan Daerah;66,87;0;0;0
36203510904;Kabupaten Serang;%;Badan Perencanaan Pembangunan Daerah;63,22;0;0;0
36203510971;Kota Tangerang;%;Badan Perencanaan Pembangunan Daerah;63,39;0;0;0
36203510972;Kota Cilegon;%;Badan Perencanaan Pembangunan Daerah;62,70;0;0;0
36203510973;Kota Serang;%;Badan Perencanaan Pembangunan Daerah;68,44;0;0;0
36203510974;Kota Tangerang Selatan;%;Badan Perencanaan Pembangunan Daerah;60,50;0;0;0
36203510936;Provinsi Banten;%;Badan Perencanaan Pembangunan Daerah;64,44;0;0;0
362035110;Tingkat Pengangguran Terbuka (TPT);;Badan Perencanaan Pembangunan Daerah;;;;
36203511001;Kabupaten Pandeglang;%;Badan Perencanaan Pembangunan Daerah;9,05;0;0;0
36203511002;Kabupaten Lebak;%;Badan Perencanaan Pembangunan Daerah;7,57;0;0;0
36203511003;Kabupaten Tangerang;%;Badan Perencanaan Pembangunan Daerah;6,94;0;0;0
36203511004;Kabupaten Serang;%;Badan Perencanaan Pembangunan Daerah;9,94;0;0;0
36203511071;Kota Tangerang;%;Badan Perencanaan Pembangunan Daerah;6,76;0;0;0
36203511072;Kota Cilegon;%;Badan Perencanaan Pembangunan Daerah;7,25;0;0;0
36203511073;Kota Serang;%;Badan Perencanaan Pembangunan Daerah;7,45;0;0;0
36203511074;Kota Tangerang Selatan;%;Badan Perencanaan Pembangunan Daerah;5,81;0;0;0
36203511036;Provinsi Banten;%;Badan Perencanaan Pembangunan Daerah;7,52;0;0;0
3620152;Pendapatan Daerah;;Badan Pengelolaan Keuangan dan Aset Daerah;;;;
36201520101;Kabupaten Pandeglang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;2,51;2,43;0;0
36201520102;Kabupaten Lebak;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;2,68;2,90;0;0
36201520103;Kabupaten Tangerang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;7,98;8,50;0;0
36201520104;Kabupaten Serang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;3,24;3,42;0;0
36201520171;Kota Tangerang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;4,69;5,03;0;0
36201520172;Kota Cilegon;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;1,84;1,86;0;0
36201520173;Kota Serang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;1,50;1,52;0;0
36201520174;Kota Tangerang Selatan;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;4,11;4,47;0;0
36201520136;Provinsi Banten;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;11,57;12,40;0;0
362015202;Pendapatan Asli Daerah (PAD);;Badan Pengelolaan Keuangan dan Aset Daerah;;;;
36201520201;Kabupaten Pandeglang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;0,23;0,19;0;0
36201520202;Kabupaten Lebak;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;0,43;0,39;0;0
36201520203;Kabupaten Tangerang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;4,40;4,60;0;0
36201520204;Kabupaten Serang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;0,87;0,90;0;0
36201520271;Kota Tangerang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;2,27;2,41;0;0
36201520272;Kota Cilegon;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;0,74;0,74;0;0
36201520273;Kota Serang;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;0,27;0,28;0;0
36201520274;Kota Tangerang Selatan;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;2,15;2,33;0;0
36201520236;Provinsi Banten;Triliun (Rp);Badan Pengelolaan Keuangan dan Aset Daerah;8,51;9,02;0;0
362015203;Persentase PAD terhadap Pendapatan Transfer;;Badan Pengelolaan Keuangan dan Aset Daerah;;;;
36201520301;Kabupaten Pandeglang;%;Badan Pengelolaan Keuangan dan Aset Daerah;10,48;8,57;0;0
36201520302;Kabupaten Lebak;%;Badan Pengelolaan Keuangan dan Aset Daerah;19,48;16,03;0;0
36201520303;Kabupaten Tangerang;%;Badan Pengelolaan Keuangan dan Aset Daerah;123,01;116,50;0;0
36201520304;Kabupaten Serang;%;Badan Pengelolaan Keuangan dan Aset Daerah;37,24;35,95;0;0
36201520371;Kota Tangerang;%;Badan Pengelolaan Keuangan dan Aset Daerah;93,89;92,42;0;0
36201520372;Kota Cilegon;%;Badan Pengelolaan Keuangan dan Aset Daerah;66,72;65,76;0;0
36201520373;Kota Serang;%;Badan Pengelolaan Keuangan dan Aset Daerah;22,36;23,03;0;0
36201520374;Kota Tangerang Selatan;%;Badan Pengelolaan Keuangan dan Aset Daerah;109,98;109,18;0;0
36201520336;Provinsi Banten;%;Badan Pengelolaan Keuangan dan Aset Daerah;278,57;267,55;0;0
362015204;Persentase PAD terhadap Pendapatan Daerah;;Badan Pengelolaan Keuangan dan Aset Daerah;;;;
36201520401;Kabupaten Pandeglang;%;Badan Pengelolaan Keuangan dan Aset Daerah;9,49;7,89;0;0
36201520402;Kabupaten Lebak;%;Badan Pengelolaan Keuangan dan Aset Daerah;16,19;13,69;0;0
36201520403;Kabupaten Tangerang;%;Badan Pengelolaan Keuangan dan Aset Daerah;55,16;53,81;0;0
36201520404;Kabupaten Serang;%;Badan Pengelolaan Keuangan dan Aset Daerah;27,04;26,36;0;0
36201520471;Kota Tangerang;%;Badan Pengelolaan Keuangan dan Aset Daerah;48,41;48,01;0;0
36201520472;Kota Cilegon;%;Badan Pengelolaan Keuangan dan Aset Daerah;40,02;39,67;0;0
36201520473;Kota Serang;%;Badan Pengelolaan Keuangan dan Aset Daerah;18,27;18,72;0;0
36201520474;Kota Tangerang Selatan;%;Badan Pengelolaan Keuangan dan Aset Daerah;52,37;52,19;0;0
36201520436;Provinsi Banten;%;Badan Pengelolaan Keuangan dan Aset Daerah;73.55;72,76;0;0
